CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
Pre-A1,4th-7th,1,Introductions Day,hello,A friendly word you say when you meet someone.
Pre-A1,4th-7th,1,Introductions Day,goodbye,A word you say when you leave or go away.
Pre-A1,4th-7th,1,Introductions Day,please,A polite word you use when you ask for something.
Pre-A1,4th-7th,1,Introductions Day,yes,A word that means you agree or something is true.
Pre-A1,4th-7th,1,Introductions Day,no,A word that means you do not agree or something is not true.
Pre-A1,4th-7th,1,Introductions Day,thanks,A short way to say you are grateful to someone.
Pre-A1,4th-7th,1,Introductions Day,name,The word people use to call you.
Pre-A1,4th-7th,1,Introductions Day,friend,A person you like and enjoy spending time with.
Pre-A1,4th-7th,2,Family Day,family,The people you live with and love.
Pre-A1,4th-7th,2,Family Day,mom,Another word for your mother.
Pre-A1,4th-7th,2,Family Day,dad,Another word for your father.
Pre-A1,4th-7th,2,Family Day,sister,A girl or woman who has the same parents as you.
Pre-A1,4th-7th,2,Family Day,brother,A boy or man who has the same parents as you.
Pre-A1,4th-7th,2,Family Day,uncle,The brother of your mother or father.
Pre-A1,4th-7th,2,Family Day,aunt,The sister of your mother or father.
Pre-A1,4th-7th,2,Family Day,grandfather,The father of your mother or father; your grandpa.
Pre-A1,4th-7th,2,Family Day,grandmother,The mother of your mother or father; your grandma.
Pre-A1,4th-7th,3,Community Day 1,library,A place where you can borrow books to read.
Pre-A1,4th-7th,3,Community Day 1,hospital,A place where sick or hurt people go for help.
Pre-A1,4th-7th,3,Community Day 1,school,A place where children go to learn.
Pre-A1,4th-7th,3,Community Day 1,park,A public outdoor place with grass and play areas.
Pre-A1,4th-7th,3,Community Day 1,store,A place where you buy food and other things.
Pre-A1,4th-7th,3,Community Day 1,house,A building where people live.
Pre-A1,4th-7th,3,Community Day 1,map,A drawing that shows where places are.
Pre-A1,4th-7th,3,Community Day 1,community,All the people who live and work in the same area.
Pre-A1,4th-7th,3,Community Day 1,restaurant,A place where you go to eat a meal.
Pre-A1,4th-7th,4,Community Day 2,doctor,A person who helps sick people get better.
Pre-A1,4th-7th,4,Community Day 2,chef,A person who cooks food professionally.
Pre-A1,4th-7th,4,Community Day 2,teacher,A person who helps students learn at school.
Pre-A1,4th-7th,4,Community Day 2,firefighter,A person whose job is to put out fires.
Pre-A1,4th-7th,4,Community Day 2,farmer,A person who grows food on a farm.
Pre-A1,4th-7th,4,Community Day 2,nurse,A person who cares for sick people in a hospital.
Pre-A1,4th-7th,4,Community Day 2,driver,A person who drives a car or bus.
Pre-A1,4th-7th,4,Community Day 2,help,To make it easier for someone to do something.
Pre-A1,4th-7th,4,Community Day 2,veterinarian,A doctor for animals.
Pre-A1,4th-7th,5,Weather Day,sunny,When the sun is shining and the sky is bright.
Pre-A1,4th-7th,5,Weather Day,rainy,When water falls from the sky.
Pre-A1,4th-7th,5,Weather Day,cloudy,When the sky is full of gray or white clouds.
Pre-A1,4th-7th,5,Weather Day,windy,When the air moves strongly and blows things around.
Pre-A1,4th-7th,5,Weather Day,cold,When the temperature is low and you feel chilly.
Pre-A1,4th-7th,5,Weather Day,hot,When the temperature is high and you feel warm.
Pre-A1,4th-7th,5,Weather Day,weather,What the air outside is like — sunny, rainy, cold, etc.
Pre-A1,4th-7th,5,Weather Day,foggy,When thick cloud near the ground makes it hard to see far.
Pre-A1,4th-7th,5,Weather Day,storm,A period of bad weather with strong wind and rain.
Pre-A1,4th-7th,6,Science Day,experiment,A test you do to find out what happens.
Pre-A1,4th-7th,6,Science Day,float,To stay on top of water instead of sinking.
Pre-A1,4th-7th,6,Science Day,sink,To go down to the bottom of water.
Pre-A1,4th-7th,6,Science Day,ocean,A very large body of salt water.
Pre-A1,4th-7th,6,Science Day,salt,A white substance used to flavor food; also used in experiments.
Pre-A1,4th-7th,6,Science Day,observe,To watch something carefully to learn about it.
Pre-A1,4th-7th,6,Science Day,hypothesis,A guess about what you think will happen in an experiment.
Pre-A1,4th-7th,6,Science Day,question,Something you ask when you want to learn more.
Pre-A1,4th-7th,6,Science Day,water,A clear liquid that people, animals, and plants need to live.
Pre-A1,4th-7th,7,Experiments Day,predict,To say what you think will happen before you try something.
Pre-A1,4th-7th,7,Experiments Day,hypothesis,Your best guess before you do an experiment.
Pre-A1,4th-7th,7,Experiments Day,observe,To watch carefully and notice what happens.
Pre-A1,4th-7th,7,Experiments Day,result,What you find out after an experiment is finished.
Pre-A1,4th-7th,7,Experiments Day,mix,To put two or more things together.
Pre-A1,4th-7th,7,Experiments Day,pour,To make a liquid flow out of a container.
Pre-A1,4th-7th,7,Experiments Day,water,A clear liquid used in many experiments.
Pre-A1,4th-7th,7,Experiments Day,vinegar,A sour liquid sometimes used in science experiments.
Pre-A1,4th-7th,7,Experiments Day,wait,To stay in one place until something happens.
Pre-A1,4th-7th,8,Animals Day,cat,A small furry pet that says meow.
Pre-A1,4th-7th,8,Animals Day,dog,A friendly pet that barks and wags its tail.
Pre-A1,4th-7th,8,Animals Day,bird,An animal with wings and feathers that can usually fly.
Pre-A1,4th-7th,8,Animals Day,fish,An animal that lives in water and swims.
Pre-A1,4th-7th,8,Animals Day,rabbit,A small animal with long ears that hops.
Pre-A1,4th-7th,8,Animals Day,tiger,A large orange and black wild cat.
Pre-A1,4th-7th,8,Animals Day,elephant,A very big gray animal with a long trunk.
Pre-A1,4th-7th,8,Animals Day,giraffe,A tall animal with a very long neck.
Pre-A1,4th-7th,8,Animals Day,whale,A very large animal that lives in the ocean.
Pre-A1,4th-7th,8,Animals Day,bear,A large strong animal with thick fur.
Pre-A1,4th-7th,9,Olympics Day,soccer,A sport played by kicking a ball into a goal.
Pre-A1,4th-7th,9,Olympics Day,athlete,A person who is very good at sports.
Pre-A1,4th-7th,9,Olympics Day,volleyball,A sport where teams hit a ball over a net.
Pre-A1,4th-7th,9,Olympics Day,play,To take part in a game or sport for fun.
Pre-A1,4th-7th,9,Olympics Day,team,A group of people who work or play together.
Pre-A1,4th-7th,9,Olympics Day,win,To do better than others in a game or competition.
Pre-A1,4th-7th,9,Olympics Day,sports,Physical games and activities like running and soccer.
Pre-A1,4th-7th,9,Olympics Day,game,An activity with rules that people play for fun.
Pre-A1,4th-7th,9,Olympics Day,ball,A round object used in many sports and games.
Pre-A1,4th-7th,10,Water Day,water,A clear liquid we drink and swim in.
Pre-A1,4th-7th,10,Water Day,swim,To move through water using your arms and legs.
Pre-A1,4th-7th,10,Water Day,wet,Covered with water or another liquid.
Pre-A1,4th-7th,10,Water Day,dry,Not wet; without water.
Pre-A1,4th-7th,10,Water Day,pour,To make liquid flow from one container to another.
Pre-A1,4th-7th,10,Water Day,river,A long line of water that flows across the land.
Pre-A1,4th-7th,10,Water Day,lake,A large area of water surrounded by land.
Pre-A1,4th-7th,10,Water Day,ice,Frozen water that is hard and cold.
Pre-A1,4th-7th,10,Water Day,rain,Water that falls from clouds in the sky.
Pre-A1,4th-7th,11,Art Day,art,"Drawings, paintings, and other creative work."
Pre-A1,4th-7th,11,Art Day,draw,To make a picture using a pencil or pen.
Pre-A1,4th-7th,11,Art Day,sketch,To draw something quickly and simply.
Pre-A1,4th-7th,11,Art Day,paint,To make a picture using colored paint.
Pre-A1,4th-7th,11,Art Day,clay,Soft material used to make shapes and models.
Pre-A1,4th-7th,11,Art Day,pencil,A tool used for writing or drawing.
Pre-A1,4th-7th,11,Art Day,artwork,A picture or object made by an artist.
Pre-A1,4th-7th,11,Art Day,color,"Red, blue, yellow, and other shades we see."
Pre-A1,4th-7th,11,Art Day,gallery,A room or building where art is shown.
Pre-A1,4th-7th,12,Show-and-Tell Day,show,To let other people see something you brought.
Pre-A1,4th-7th,12,Show-and-Tell Day,tell,To say information to someone using words.
Pre-A1,4th-7th,12,Show-and-Tell Day,share,To let others use or enjoy something you have.
Pre-A1,4th-7th,12,Show-and-Tell Day,ask,To say a question to get an answer.
Pre-A1,4th-7th,12,Show-and-Tell Day,explain,To make something clear by describing it.
Pre-A1,4th-7th,12,Show-and-Tell Day,speak,To say words aloud to other people.
Pre-A1,4th-7th,12,Show-and-Tell Day,bring,To carry something with you to a place.
Pre-A1,4th-7th,12,Show-and-Tell Day,favorite,The thing you like best.
Pre-A1,4th-7th,12,Show-and-Tell Day,listen,To pay attention to sounds or to someone speaking.
Pre-A1,4th-7th,13,Restaurant Day,restaurant,A place where people go to eat meals.
Pre-A1,4th-7th,13,Restaurant Day,food,What people and animals eat to stay alive.
Pre-A1,4th-7th,13,Restaurant Day,menu,A list of food you can order at a restaurant.
Pre-A1,4th-7th,13,Restaurant Day,order,To ask for food or drink at a restaurant.
Pre-A1,4th-7th,13,Restaurant Day,customer,A person who buys something at a store or restaurant.
Pre-A1,4th-7th,13,Restaurant Day,eat,To put food in your mouth and swallow it.
Pre-A1,4th-7th,13,Restaurant Day,drink,To swallow a liquid like water or juice.
Pre-A1,4th-7th,13,Restaurant Day,hungry,The feeling you get when you need to eat.
Pre-A1,4th-7th,13,Restaurant Day,waiter,A person who brings food to your table in a restaurant.
Pre-A1,4th-7th,14,Dance Day,dance,To move your body to music.
Pre-A1,4th-7th,14,Dance Day,clap,To hit your hands together to make a sound.
Pre-A1,4th-7th,14,Dance Day,hop,To jump on one foot.
Pre-A1,4th-7th,14,Dance Day,jump,To push yourself up off the ground with your legs.
Pre-A1,4th-7th,14,Dance Day,spin,To turn around quickly in a circle.
Pre-A1,4th-7th,14,Dance Day,stomp,To step hard on the floor with your foot.
Pre-A1,4th-7th,14,Dance Day,move,To change position or go from one place to another.
Pre-A1,4th-7th,14,Dance Day,music,Sounds made by singing or playing instruments.
Pre-A1,4th-7th,14,Dance Day,wave,To move your hand back and forth to say hello or goodbye.
Pre-A1,4th-7th,15,Final Day,talent,A special ability like singing or drawing well.
Pre-A1,4th-7th,15,Final Day,sing,To make music with your voice.
Pre-A1,4th-7th,15,Final Day,perform,To do something in front of an audience.
Pre-A1,4th-7th,15,Final Day,celebrate,To do something fun for a special day or event.
Pre-A1,4th-7th,15,Final Day,proud,Feeling happy about something good you did.
Pre-A1,4th-7th,15,Final Day,friend,A person you like and trust.
Pre-A1,4th-7th,15,Final Day,summer,The warm season when school is often on vacation.
Pre-A1,4th-7th,15,Final Day,clap,To hit your hands together to show you enjoyed something.
