CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
A2,8th-12th,1,All About Me,introduce,To tell someone your name and who you are for the first time.
A2,8th-12th,1,All About Me,personality,The qualities and characteristics that make you who you are.
A2,8th-12th,1,All About Me,describe,To say what someone or something is like using words.
A2,8th-12th,1,All About Me,friendly,Easy to talk to and kind to other people.
A2,8th-12th,1,All About Me,shy,Nervous or uncomfortable when talking to people you do not know.
A2,8th-12th,1,All About Me,outgoing,Confident and happy to meet and talk to new people.
A2,8th-12th,1,All About Me,hobby,An activity you enjoy doing in your free time.
A2,8th-12th,1,All About Me,background,Information about where you are from and your family history.
A2,8th-12th,1,All About Me,favorite,The thing you like best out of all the choices.
A2,8th-12th,2,Careers,career,The type of work a person does for most of their life.
A2,8th-12th,2,Careers,interview,A meeting where someone asks you questions to decide if you can do a job.
A2,8th-12th,2,Careers,skill,Something you can do well because you have learned or practiced it.
A2,8th-12th,2,Careers,workplace,The building or place where people go to do their job.
A2,8th-12th,2,Careers,salary,The money you earn regularly for doing your job.
A2,8th-12th,2,Careers,profession,"A job that needs special training or education, like a doctor or teacher."
A2,8th-12th,2,Careers,employer,A person or company that gives you a job and pays you.
A2,8th-12th,2,Careers,apply,To send a request asking to be considered for a job.
A2,8th-12th,2,Careers,experience,Knowledge or ability you have because you have done something before.
A2,8th-12th,3,Holidays & Festivals,celebrate,To do something special and fun because of an important day or event.
A2,8th-12th,3,Holidays & Festivals,tradition,Something that a group of people have done for a long time and keep doing.
A2,8th-12th,3,Holidays & Festivals,custom,A normal way of behaving or doing things in a particular place or culture.
A2,8th-12th,3,Holidays & Festivals,festival,A special time when many people gather to celebrate something together.
A2,8th-12th,3,Holidays & Festivals,decoration,Objects you put up to make a place look more beautiful for a special event.
A2,8th-12th,3,Holidays & Festivals,parade,A line of people walking or marching through the street to celebrate.
A2,8th-12th,3,Holidays & Festivals,ceremony,A formal event that people do to mark an important occasion.
A2,8th-12th,3,Holidays & Festivals,cultural,"Relating to the traditions, art, and ideas of a particular group of people."
A2,8th-12th,3,Holidays & Festivals,gather,"To come together in one place, usually with other people."
A2,8th-12th,4,Hobbies & Interests,playing,To take part in a game or sport for fun.
A2,8th-12th,4,Hobbies & Interests,skateboarding,Riding on a flat board with wheels as a sport or for fun.
A2,8th-12th,4,Hobbies & Interests,biking,"Riding a bicycle for exercise, fun, or to get from one place to another."
A2,8th-12th,4,Hobbies & Interests,cooking,Preparing food by mixing ingredients and using heat.
A2,8th-12th,4,Hobbies & Interests,drawing,"Making pictures using a pencil, pen, or other tool on paper."
A2,8th-12th,4,Hobbies & Interests,collect,"To gather and keep things you like, such as stamps, cards, or toys."
A2,8th-12th,4,Hobbies & Interests,practice,To do something many times so that you get better at it.
A2,8th-12th,4,Hobbies & Interests,creative,Good at thinking of new and interesting ideas or making things.
A2,8th-12th,4,Hobbies & Interests,outdoor,"Happening or used outside, not inside a building."
A2,8th-12th,4,Hobbies & Interests,pastime,An activity you enjoy doing when you are not working or studying.
A2,8th-12th,5,TALMA Olympics,competition,An event where people or teams try to win by doing something better than others.
A2,8th-12th,5,TALMA Olympics,teamwork,When a group of people work together to achieve the same goal.
A2,8th-12th,5,TALMA Olympics,athlete,A person who is very good at sports or physical activities.
A2,8th-12th,5,TALMA Olympics,champion,The person or team that wins a competition.
A2,8th-12th,5,TALMA Olympics,support,Help and encouragement you give to someone so they can keep trying.
A2,8th-12th,5,TALMA Olympics,victory,"Winning a game, race, or other competition."
A2,8th-12th,5,TALMA Olympics,cheer,To shout and show support to encourage someone in a competition.
A2,8th-12th,5,TALMA Olympics,effort,The energy and hard work you put into doing something.
A2,8th-12th,5,TALMA Olympics,participate,To take part in an activity or event.
A2,8th-12th,6,Science Day (Inventions),invention,A new object or idea that someone has made or thought of for the first time.
A2,8th-12th,6,Science Day (Inventions),inventor,A person who makes or designs something that has never existed before.
A2,8th-12th,6,Science Day (Inventions),technology,"Tools, machines, and systems that people create to make life easier."
A2,8th-12th,6,Science Day (Inventions),discover,To find or learn something for the first time.
A2,8th-12th,6,Science Day (Inventions),innovation,A new way of doing something or a new idea that improves things.
A2,8th-12th,6,Science Day (Inventions),creative,Good at thinking of new and interesting ideas or making things.
A2,8th-12th,6,Science Day (Inventions),solve,To find an answer to a problem.
A2,8th-12th,6,Science Day (Inventions),design,To plan and draw how something will look or work before you make it.
A2,8th-12th,6,Science Day (Inventions),useful,Helpful and good for a particular purpose.
A2,8th-12th,7,The Scientific Method,hypothesis,An idea or guess you make before doing an experiment to try to explain something.
A2,8th-12th,7,The Scientific Method,experiment,A test you do to find out if your hypothesis is correct.
