CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
A1,4th-7th,1,Introductions Day,hello,A friendly word you say when you meet someone.
A1,4th-7th,1,Introductions Day,goodbye,A word you say when you leave or go away.
A1,4th-7th,1,Introductions Day,name,The word people use to call you.
A1,4th-7th,1,Introductions Day,friend,A person you like and enjoy spending time with.
A1,4th-7th,1,Introductions Day,introduce,To tell someone your name when you meet for the first time.
A1,4th-7th,1,Introductions Day,age,How many years old a person is.
A1,4th-7th,1,Introductions Day,country,The place where you were born or where you live.
A1,4th-7th,1,Introductions Day,hobby,An activity you enjoy doing in your free time.
A1,4th-7th,1,Introductions Day,favorite,The thing you like best out of all the choices.
A1,4th-7th,2,Prepositions / Directions Day,left,The opposite direction from right.
A1,4th-7th,2,Prepositions / Directions Day,right,The opposite direction from left.
A1,4th-7th,2,Prepositions / Directions Day,up,Toward the sky or the top of something.
A1,4th-7th,2,Prepositions / Directions Day,down,Toward the ground or the bottom of something.
A1,4th-7th,2,Prepositions / Directions Day,near,Not far away; close to something.
A1,4th-7th,2,Prepositions / Directions Day,far,A long distance away; not close.
A1,4th-7th,2,Prepositions / Directions Day,behind,At the back of something.
A1,4th-7th,2,Prepositions / Directions Day,between,In the middle of two things.
A1,4th-7th,2,Prepositions / Directions Day,inside,In the inner part of something; not outside.
A1,4th-7th,3,Emotions Day,happy,Feeling good and smiling.
A1,4th-7th,3,Emotions Day,sad,Feeling unhappy or like you might cry.
A1,4th-7th,3,Emotions Day,excited,Feeling very happy and eager about something.
A1,4th-7th,3,Emotions Day,tired,Needing rest or sleep.
A1,4th-7th,3,Emotions Day,angry,Feeling very upset or mad.
A1,4th-7th,3,Emotions Day,shy,Nervous or quiet around people you do not know well.
A1,4th-7th,3,Emotions Day,nervous,Worried or a little scared about something new.
A1,4th-7th,3,Emotions Day,surprised,Feeling shocked because something unexpected happened.
A1,4th-7th,3,Emotions Day,calm,Quiet and relaxed; not upset or excited.
A1,4th-7th,4,Mystery Day,clue,A hint that helps you solve a mystery.
A1,4th-7th,4,Mystery Day,mystery,Something that is hard to explain or understand.
A1,4th-7th,4,Mystery Day,guess,To try to give an answer when you are not sure.
A1,4th-7th,4,Mystery Day,secret,Something that is kept hidden from others.
A1,4th-7th,4,Mystery Day,detective,A person who solves mysteries and finds clues.
A1,4th-7th,4,Mystery Day,question,Something you ask when you want to learn more.
A1,4th-7th,4,Mystery Day,answer,What you say when someone asks you a question.
A1,4th-7th,4,Mystery Day,solve,To find the correct answer to a problem or mystery.
A1,4th-7th,4,Mystery Day,who,A question word used to ask about a person.
A1,4th-7th,5,Holiday Celebrations Day,holiday,A special day when people celebrate something important.
A1,4th-7th,5,Holiday Celebrations Day,celebrate,To do something fun because of a special day or event.
A1,4th-7th,5,Holiday Celebrations Day,gift,Something you give to someone on a special day.
A1,4th-7th,5,Holiday Celebrations Day,party,A fun event where people gather to celebrate.
A1,4th-7th,5,Holiday Celebrations Day,tradition,Something a family or group does the same way every year.
A1,4th-7th,5,Holiday Celebrations Day,cake,A sweet food people often eat at birthdays and parties.
A1,4th-7th,5,Holiday Celebrations Day,music,Sounds made by singing or playing instruments.
A1,4th-7th,5,Holiday Celebrations Day,decorate,To make a place look special with colors and objects.
A1,4th-7th,5,Holiday Celebrations Day,festival,A time when many people gather to celebrate together.
A1,4th-7th,6,Community Day (Part 1),chef,A person who cooks food professionally.
A1,4th-7th,6,Community Day (Part 1),doctor,A person who helps sick people get better.
A1,4th-7th,6,Community Day (Part 1),teacher,A person who helps students learn at school.
A1,4th-7th,6,Community Day (Part 1),nurse,A person who cares for sick people in a hospital.
A1,4th-7th,6,Community Day (Part 1),farmer,A person who grows food on a farm.
A1,4th-7th,6,Community Day (Part 1),driver,A person who drives a car or bus.
A1,4th-7th,6,Community Day (Part 1),firefighter,A person whose job is to put out fires.
A1,4th-7th,6,Community Day (Part 1),librarian,A person who works in a library and helps people find books.
A1,4th-7th,6,Community Day (Part 1),vet,A doctor for animals.
A1,4th-7th,7,Community Day (Part 2),hospital,A place where sick or hurt people go for help.
A1,4th-7th,7,Community Day (Part 2),library,A place where you can borrow books to read.
A1,4th-7th,7,Community Day (Part 2),park,A public outdoor place with grass and play areas.
A1,4th-7th,7,Community Day (Part 2),school,A place where children go to learn.
A1,4th-7th,7,Community Day (Part 2),store,A place where you buy food and other things.
A1,4th-7th,7,Community Day (Part 2),restaurant,A place where you go to eat a meal.
A1,4th-7th,7,Community Day (Part 2),clinic,A small place where a doctor or nurse helps people.
A1,4th-7th,7,Community Day (Part 2),farm,Land where animals live and crops are grown.
A1,4th-7th,7,Community Day (Part 2),museum,A building where interesting objects and art are shown.
A1,4th-7th,8,Animals Day,cat,A small furry pet that says meow.
