,ENGLISH,HEBREW,ARABIC
1,science,מדע,علم
1,experiment,ניסוי,تجربة
1,volcano,הר געש,بركان
1,materials,חומרים,مواد
1,spoon,כפית,ملعقة
1,cup,כוס,كوب
1,vinegar,חומץ,خل
1,baking soda,סודה לשתייה,بيكربونات الصوديوم
1,soap,סבון,صابون
1,make,להכין,يصنع
2,ice,קרח,جليد
2,melts,נמס,يذوب
2,fast,מהר,سريع
2,warm,חם,دافئ
2,water,מים,ماء
2,seeds,זרעים,بذور
2,grow,לגדול,ينمو
2,wonder,לתהות,يتساءل
2,sunlight,אור שמש,ضوء الشمس
2,tall,גבוה,طويل
3,paper,נייר,ورق
3,notebook,מחברת,دفتر
3,measuring tape,סרט מדידה,شريط قياس
3,timer,טיימר,مؤقت
3,pencil,עיפרון,قلم رصاص
3,paper clip,מהדק נייר,مشبك ورق
3,glue,דבק,غراء
3,airplane,מטוס,طائرة
3,wide,רחב,واسع
4,hypothesis,השערה,فرضية
4,observe,להתבונן,يلاحظ
4,measure,למדוד,يقيس
4,data,נתונים,بيانات
4,test,מבחן,اختبار
4,result,תוצאה,نتيجة
4,variable,משתנה,متغير
4,conclusion,מסקנה,استنتاج
4,equipment,ציוד,معدات
5,pollution,זיהום,تلوث
5,protect,להגן,يحمي
5,air,אוויר,هواء
5,water,מים,ماء
5,plants,צמחים,نباتات
5,animals,בעלי חיים,حيوانات
5,energy,אנרגיה,طاقة
5,environment,סביבה,بيئة
5,living ,חי,معيشة
5,non-living,לא חי,غير حي
6,cactus,קקטוס,صبار
6,camel,גמל,جمل
6,dune,דיונה,كثيب
6,thirsty,צמא,عطشان
6,frozen,קפוא,متجمد
6,iceberg,קרחון,جبل جليدي
6,moss,אזוב,طحلب
6,windy,סוער,عاصف
6,desert,מדבר,صحراء
6,snow,שלג,ثلج
7,rules,כללים,قواعد
7,class,כיתה,صف
7,students ,תלמידים,طلاب
7,teacher,מורה,معلم
7,speak,לדבר,يتحدث
7,food,אוכל,طعام
7,clean up,לנקות,ينظف
7,help,לעזור,يساعد
7,ask,לשאול,يسأل
7,respect,לכבד,يحترم
8,hypothesis,השערה,فرضية
8,observe,להתבונן,يلاحظ
8,measure,למדוד,يقيس
8,data,נתונים,بيانات
8,test,מבחן,اختبار
8,result,תוצאה,نتيجة
8,variable,משתנה,متغير
8,conclusion,מסקנה,استنتاج
8,equipment,ציוד,معدات
