CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,portrait,"A picture of a person, especially one that shows their face."
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,sketch,"A quick, simple drawing of something."
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,hobby,An activity you enjoy doing in your free time.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,talent,A natural ability to do something well.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,personality,The qualities that make you who you are.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,creative,Good at thinking of new ideas or making things.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,passion,A strong feeling of excitement about something you love.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,interest,Something you want to learn more about or spend time on.
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,introduce,To tell someone your name and a little about yourself.
B1,8th-12th,2,Community Connection,volunteer,To offer your time to help others without being paid.
B1,8th-12th,2,Community Connection,neighborhood,The area near where you live.
B1,8th-12th,2,Community Connection,connect,To build a relationship or link with other people.
B1,8th-12th,2,Community Connection,support,Help and encouragement you give to someone.
B1,8th-12th,2,Community Connection,service,Work done to help other people or the community.
B1,8th-12th,2,Community Connection,donate,"To give money, food, or things to help others."
B1,8th-12th,2,Community Connection,charity,An organization that helps people in need.
B1,8th-12th,2,Community Connection,community,All the people who live and work in the same area.
B1,8th-12th,2,Community Connection,together,With each other; as a group.
B1,8th-12th,3,In the Future,future,The time that has not happened yet.
B1,8th-12th,3,In the Future,career,The type of work a person does for much of their life.
B1,8th-12th,3,In the Future,goal,Something you decide you want to do or achieve.
B1,8th-12th,3,In the Future,dream,A wish or hope for something you want in the future.
B1,8th-12th,3,In the Future,plan,A set of steps you decide to follow to reach a goal.
B1,8th-12th,3,In the Future,achieve,To succeed in doing something you worked toward.
B1,8th-12th,3,In the Future,ambition,A strong desire to do or become something important.
B1,8th-12th,3,In the Future,opportunity,A chance to do something that could help you succeed.
B1,8th-12th,3,In the Future,succeed,To reach a goal or do well at something.
B1,8th-12th,4,Keeping Traditions,tradition,Something a group of people have done for a long time.
B1,8th-12th,4,Keeping Traditions,custom,A usual way of behaving in a particular culture.
B1,8th-12th,4,Keeping Traditions,heritage,The traditions and history passed down by your family or culture.
B1,8th-12th,4,Keeping Traditions,celebrate,To do something special for an important day or event.
B1,8th-12th,4,Keeping Traditions,generation,All the people born and living at about the same time.
B1,8th-12th,4,Keeping Traditions,culture,"The beliefs, customs, and art of a particular group of people."
B1,8th-12th,4,Keeping Traditions,ritual,A ceremony or set of actions done in a fixed order.
B1,8th-12th,4,Keeping Traditions,respect,A feeling of honor and care toward someone or something.
B1,8th-12th,4,Keeping Traditions,preserve,To keep something safe so it is not lost or forgotten.
B1,8th-12th,5,Goal Setting / Variety Show,focus,To give all your attention to one thing.
B1,8th-12th,5,Goal Setting / Variety Show,practice,To do something many times to get better at it.
B1,8th-12th,5,Goal Setting / Variety Show,improve,To make something better than it was before.
B1,8th-12th,5,Goal Setting / Variety Show,perform,"To sing, act, or play music in front of an audience."
B1,8th-12th,5,Goal Setting / Variety Show,audience,A group of people who watch or listen to a performance.
B1,8th-12th,5,Goal Setting / Variety Show,confidence,A feeling of trust in yourself and your abilities.
B1,8th-12th,5,Goal Setting / Variety Show,progress,Movement forward toward a goal.
B1,8th-12th,5,Goal Setting / Variety Show,determined,Having a strong decision not to give up.
B1,8th-12th,5,Goal Setting / Variety Show,prepare,To get ready for something before it happens.
B1,8th-12th,6,AI,algorithm,A set of rules a computer follows to solve a problem.
B1,8th-12th,6,AI,robot,"A machine that can do tasks automatically, sometimes like a person."
B1,8th-12th,6,AI,data,Facts and numbers collected and stored by computers.
B1,8th-12th,6,AI,coding,Writing instructions that tell a computer what to do.
B1,8th-12th,6,AI,digital,"Related to computers, the internet, or electronic devices."
B1,8th-12th,6,AI,automate,To make a machine or process work by itself.
B1,8th-12th,6,AI,software,Programs that run on computers and phones.
B1,8th-12th,6,AI,technology,Tools and machines created by people to solve problems.
B1,8th-12th,6,AI,intelligence,"The ability to learn, understand, and think."
B1,8th-12th,7,Water Conservation,conservation,The careful use of natural resources so they are not wasted.
B1,8th-12th,7,Water Conservation,drought,A long period with very little or no rain.
B1,8th-12th,7,Water Conservation,pollution,"Harmful substances that damage water, air, or land."
B1,8th-12th,7,Water Conservation,recycle,To use materials again instead of throwing them away.
B1,8th-12th,7,Water Conservation,freshwater,"Water with no salt, found in rivers, lakes, and rain."
B1,8th-12th,7,Water Conservation,reservoir,A large lake used to store water for people to use.
B1,8th-12th,7,Water Conservation,scarce,Not enough of something; hard to find.
B1,8th-12th,7,Water Conservation,conserve,To use something carefully so it is not wasted.
B1,8th-12th,7,Water Conservation,purify,To remove harmful substances from water to make it safe.
B1,8th-12th,8,Inventions,invention,A new object or idea created for the first time.
B1,8th-12th,8,Inventions,inventor,A person who creates something that never existed before.
B1,8th-12th,8,Inventions,innovate,"To introduce a new idea, method, or product."
B1,8th-12th,8,Inventions,patent,Official rights that protect a new invention.
B1,8th-12th,8,Inventions,design,To plan how something will look or work before making it.
B1,8th-12th,8,Inventions,prototype,An early model built to test a new invention.
B1,8th-12th,8,Inventions,useful,Helpful and good for a particular purpose.
B1,8th-12th,8,Inventions,creative,Good at thinking of new and interesting ideas.
B1,8th-12th,8,Inventions,solve,To find an answer to a problem.
B1,8th-12th,9,Mysteries of the Brain,brain,The organ inside your head that controls thinking and memory.
B1,8th-12th,9,Mysteries of the Brain,neuron,A tiny cell in the brain that sends signals.
B1,8th-12th,9,Mysteries of the Brain,memory,Something you remember from the past.
B1,8th-12th,9,Mysteries of the Brain,focus,To give all your attention to one thing.
B1,8th-12th,9,Mysteries of the Brain,concentration,The ability to keep your attention on one task.
B1,8th-12th,9,Mysteries of the Brain,learning,The process of gaining knowledge or skills.
B1,8th-12th,9,Mysteries of the Brain,thought,An idea or opinion that forms in your mind.
B1,8th-12th,9,Mysteries of the Brain,curious,Wanting to know or learn more about something.
B1,8th-12th,9,Mysteries of the Brain,explore,To travel through or study something to learn about it.
B1,8th-12th,10,Experiments Day,hypothesis,An educated guess you make before doing an experiment.
B1,8th-12th,10,Experiments Day,experiment,A test done to find out if an idea is correct.
B1,8th-12th,10,Experiments Day,observe,To watch carefully and notice what happens.
B1,8th-12th,10,Experiments Day,variable,Something in an experiment that you change or measure.
