CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
A2,8th-12th,1,All About Me,"On the first day of camp, I will {blank} myself to everyone in my group.",introduce
A2,8th-12th,1,All About Me,My best friend has a very funny and kind {blank} — everyone loves her.,personality
A2,8th-12th,1,All About Me,Can you {blank} what you look like so I can find you in the crowd?,describe
A2,8th-12th,1,All About Me,He is very {blank} and always says hello to new students.,outgoing
A2,8th-12th,1,All About Me,"My {blank} color is blue, so I always wear it on special days.",favorite
A2,8th-12th,2,Careers,"She wants to have a {blank} in medicine, so she is studying to be a doctor.",career
A2,8th-12th,2,Careers,"He was nervous before his job {blank}, but he answered all the questions well.",interview
A2,8th-12th,2,Careers,Learning to speak English is a very useful {blank} for many jobs.,skill
A2,8th-12th,2,Careers,The {blank} told everyone to arrive at the office by 9 a.m.,employer
A2,8th-12th,2,Careers,She decided to {blank} for a summer job at the local restaurant.,apply
A2,8th-12th,3,Holidays & Festivals,"Every year, our family gets together to {blank} the New Year with music and food.",celebrate
A2,8th-12th,3,Holidays & Festivals,"In our town, it is a {blank} to wear special costumes during the harvest festival.",tradition
A2,8th-12th,3,Holidays & Festivals,Thousands of people lined the streets to watch the colorful {blank} go by.,parade
A2,8th-12th,3,Holidays & Festivals,The school put up bright {blank} all around the hall for the end-of-year party.,decoration
A2,8th-12th,3,Holidays & Festivals,Families {blank} in the park every summer for the big music festival.,gather
A2,8th-12th,4,Hobbies & Interests,My brother spends every weekend {blank} at the skate park with his friends.,skateboarding
A2,8th-12th,4,Hobbies & Interests,She loves {blank} portraits of her family in her sketchbook.,drawing
A2,8th-12th,4,Hobbies & Interests,"After school, we enjoy {blank} board games together in the classroom.",playing
A2,8th-12th,4,Hobbies & Interests,He decided to learn {blank} so he could make healthy meals for his family.,cooking
A2,8th-12th,4,Hobbies & Interests,"On sunny mornings, she goes {blank} along the river path before breakfast.",biking
A2,8th-12th,5,TALMA Olympics,Every athlete needs great {blank} from their teammates to win the race.,support
A2,8th-12th,5,TALMA Olympics,"Thanks to strong {blank}, our group finished the relay race in first place.",teamwork
A2,8th-12th,5,TALMA Olympics,She trained every day and finally became the {blank} of the swimming event.,champion
A2,8th-12th,5,TALMA Olympics,"Even if you do not win, it is important to {blank} and give your best effort.",participate
A2,8th-12th,5,TALMA Olympics,The crowd stood up to {blank} when the team scored the final point.,cheer
A2,8th-12th,6,Science Day (Inventions),The telephone was a great {blank} that changed how people communicate.,invention
A2,8th-12th,6,Science Day (Inventions),Scientists worked hard to {blank} a way to make clean energy from the sun.,discover
A2,8th-12th,6,Science Day (Inventions),Modern {blank} like smartphones make it easy to stay connected with friends.,technology
A2,8th-12th,6,Science Day (Inventions),She used her {blank} skills to design a better backpack for students.,creative
A2,8th-12th,6,Science Day (Inventions),The young {blank} worked for years before sharing his new robot idea with the world.,inventor
