CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,I drew a {blank} of myself for art class.,portrait
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,My favorite {blank} is playing guitar on weekends.,hobby
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,She has a creative {blank} and loves to paint.,personality
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,I want to {blank} myself to the new students.,introduce
B1,8th-12th,1,Introductions & Self-Portraits / Hobbies,He shared his hidden {blank} by singing on stage.,talent
B1,8th-12th,2,Community Connection,We {blank} at the food bank every Saturday.,volunteer
B1,8th-12th,2,Community Connection,Our {blank} organized a cleanup day at the park.,community
B1,8th-12th,2,Community Connection,Good neighbors {blank} and help one another.,support
B1,8th-12th,2,Community Connection,They {blank} clothes to families in need.,donate
B1,8th-12th,2,Community Connection,Working {blank} makes our project stronger.,together
B1,8th-12th,3,In the Future,"In the {blank}, I hope to become a doctor.",future
B1,8th-12th,3,In the Future,My {blank} is to learn English fluently.,goal
B1,8th-12th,3,In the Future,She has a clear {blank} for her career path.,plan
B1,8th-12th,3,In the Future,"With hard work, you can {blank} your dreams.",achieve
B1,8th-12th,3,In the Future,This internship is a great {blank} for me.,opportunity
B1,8th-12th,4,Keeping Traditions,Lighting candles is a family {blank} on holidays.,tradition
B1,8th-12th,4,Keeping Traditions,We {blank} our culture by cooking special foods.,preserve
B1,8th-12th,4,Keeping Traditions,Every {blank} learns stories from their grandparents.,generation
B1,8th-12th,4,Keeping Traditions,People show {blank} during important ceremonies.,respect
B1,8th-12th,4,Keeping Traditions,Wearing special clothes is a local {blank} here.,custom
B1,8th-12th,5,Goal Setting / Variety Show,You need {blank} to speak in front of a crowd.,confidence
B1,8th-12th,5,Goal Setting / Variety Show,Daily {blank} helps me improve my English.,practice
B1,8th-12th,5,Goal Setting / Variety Show,The {blank} clapped loudly after the song.,audience
B1,8th-12th,5,Goal Setting / Variety Show,Stay {blank} when you work toward a hard goal.,determined
B1,8th-12th,5,Goal Setting / Variety Show,We {blank} for the variety show all week.,prepare
B1,8th-12th,6,AI,A computer follows an {blank} to sort the data.,algorithm
B1,8th-12th,6,AI,Engineers build a {blank} to help in factories.,robot
B1,8th-12th,6,AI,Learning {blank} teaches you how programs work.,coding
B1,8th-12th,6,AI,We store numbers and facts as {blank}.,data
B1,8th-12th,6,AI,Modern {blank} changes how people live and work.,technology
B1,8th-12th,7,Water Conservation,Turn off the tap to help with water {blank}.,conservation
B1,8th-12th,7,Water Conservation,Farmers suffer during a long {blank}.,drought
B1,8th-12th,7,Water Conservation,We {blank} bottles instead of throwing them away.,recycle
B1,8th-12th,7,Water Conservation,Clean {blank} is needed for drinking and farming.,freshwater
B1,8th-12th,7,Water Conservation,Filters {blank} dirty water so it is safe to use.,purify
B1,8th-12th,8,Inventions,The telephone was an important {blank}.,invention
B1,8th-12th,8,Inventions,An {blank} tests ideas before selling a product.,inventor
B1,8th-12th,8,Inventions,Engineers {blank} a model called a prototype.,design
B1,8th-12th,8,Inventions,A {blank} protects a new product from being copied.,patent
B1,8th-12th,8,Inventions,Good inventions {blank} real problems for people.,solve
B1,8th-12th,9,Mysteries of the Brain,"Your {blank} helps you think, learn, and remember.",brain
B1,8th-12th,9,Mysteries of the Brain,Sleep helps strengthen your {blank}.,memory
B1,8th-12th,9,Mysteries of the Brain,Stay {blank} and ask questions in science class.,curious
B1,8th-12th,9,Mysteries of the Brain,Deep {blank} helps you finish difficult homework.,concentration
B1,8th-12th,9,Mysteries of the Brain,Scientists {blank} how the brain controls emotions.,explore
