CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
Pre-A1,4th-7th,1,Introductions Day,I say {blank} when I meet a new friend.,hello
Pre-A1,4th-7th,1,Introductions Day,I say {blank} when I leave school.,goodbye
Pre-A1,4th-7th,1,Introductions Day,"Can I have water, {blank}?",please
Pre-A1,4th-7th,1,Introductions Day,"Do you like cats? {blank}, I do!",yes
Pre-A1,4th-7th,1,Introductions Day,"A: Do you like rain? B: {blank}, I don't.",no
Pre-A1,4th-7th,2,Family Day,My {blank} is my father.,dad
Pre-A1,4th-7th,2,Family Day,My {blank} is my mother.,mom
Pre-A1,4th-7th,2,Family Day,I have one {blank}. She is a girl.,sister
Pre-A1,4th-7th,2,Family Day,My {blank} is my dad's brother.,uncle
Pre-A1,4th-7th,2,Family Day,I love my {blank}. We all live together.,family
Pre-A1,4th-7th,3,Community Day 1,I go to the {blank} to read books.,library
Pre-A1,4th-7th,3,Community Day 1,I buy food at the {blank}.,store
Pre-A1,4th-7th,3,Community Day 1,I go to the {blank} when I am sick.,hospital
Pre-A1,4th-7th,3,Community Day 1,Children go to {blank} to learn.,school
Pre-A1,4th-7th,3,Community Day 1,I play outside in the {blank}.,park
Pre-A1,4th-7th,4,Community Day 2,A {blank} cooks food in a restaurant.,chef
Pre-A1,4th-7th,4,Community Day 2,A {blank} helps sick people at the hospital.,doctor
Pre-A1,4th-7th,4,Community Day 2,A {blank} works at my school and teaches us.,teacher
Pre-A1,4th-7th,4,Community Day 2,A {blank} puts out fires to keep us safe.,firefighter
Pre-A1,4th-7th,4,Community Day 2,A {blank} drives a big truck to help people.,driver
Pre-A1,4th-7th,5,Weather Day,It is {blank} today. I need a coat.,cold
Pre-A1,4th-7th,5,Weather Day,It is {blank} today. The sun is out.,sunny
Pre-A1,4th-7th,5,Weather Day,It is {blank} outside. I need my umbrella.,rainy
Pre-A1,4th-7th,5,Weather Day,The sky is {blank}. I cannot see the sun.,cloudy
Pre-A1,4th-7th,5,Weather Day,It is very {blank} today. The trees are moving.,windy
Pre-A1,4th-7th,6,Science Day,We add {blank} to water in our experiment.,salt
Pre-A1,4th-7th,6,Science Day,A ball can {blank} on top of the water.,float
Pre-A1,4th-7th,6,Science Day,A rock will {blank} to the bottom of the water.,sink
Pre-A1,4th-7th,6,Science Day,Fish live in the {blank}.,ocean
Pre-A1,4th-7th,6,Science Day,We do an {blank} to learn something new in science.,experiment
Pre-A1,4th-7th,7,Experiments Day,"Before the experiment, I {blank} what will happen.",predict
Pre-A1,4th-7th,7,Experiments Day,My {blank} is my best guess before the experiment.,hypothesis
Pre-A1,4th-7th,7,Experiments Day,I {blank} the water carefully to see what happens.,observe
Pre-A1,4th-7th,7,Experiments Day,We write the {blank} after we finish the experiment.,result
Pre-A1,4th-7th,7,Experiments Day,I {blank} the red and blue water together.,mix
Pre-A1,4th-7th,8,Animals Day,A {blank} is a very big gray animal with a long nose.,elephant
Pre-A1,4th-7th,8,Animals Day,A {blank} is a tall animal with a very long neck.,giraffe
Pre-A1,4th-7th,8,Animals Day,A {blank} is a big animal that lives in the ocean.,whale
Pre-A1,4th-7th,8,Animals Day,A {blank} can hop. It is white and fluffy.,rabbit
Pre-A1,4th-7th,8,Animals Day,A {blank} is a big cat. It is orange with black stripes.,tiger
Pre-A1,4th-7th,9,Olympics Day,I play {blank} with a ball and a net.,volleyball
Pre-A1,4th-7th,9,Olympics Day,An {blank} trains hard to win a medal.,athlete
Pre-A1,4th-7th,9,Olympics Day,We play {blank} with a round ball and two teams.,soccer
Pre-A1,4th-7th,9,Olympics Day,Our {blank} worked together and won the game.,team
Pre-A1,4th-7th,9,Olympics Day,We {blank} outside every afternoon.,play
Pre-A1,4th-7th,10,Water Day,My shirt is {blank}. I need a towel.,wet
Pre-A1,4th-7th,10,Water Day,I {blank} water into the cup slowly.,pour
Pre-A1,4th-7th,10,Water Day,My towel is {blank} now. I used it after swimming.,dry
Pre-A1,4th-7th,10,Water Day,We {blank} in the pool on hot days.,swim
Pre-A1,4th-7th,10,Water Day,I drink {blank} when I am thirsty.,water
Pre-A1,4th-7th,11,Art Day,I use my pencil to {blank} a rabbit.,sketch
Pre-A1,4th-7th,11,Art Day,She makes a horse from {blank}. It is brown and soft.,clay
Pre-A1,4th-7th,11,Art Day,He uses red {blank} to make a flower on paper.,paint
Pre-A1,4th-7th,11,Art Day,The {blank} hangs on the wall in the library.,artwork
Pre-A1,4th-7th,11,Art Day,I {blank} a sunny day with a yellow pencil.,draw
Pre-A1,4th-7th,12,Show-and-Tell Day,Please {blank} your toy with the class today.,share
Pre-A1,4th-7th,12,Show-and-Tell Day,She will {blank} what the artwork is about.,explain
Pre-A1,4th-7th,12,Show-and-Tell Day,Can you {blank} me about your pet?,tell
Pre-A1,4th-7th,12,Show-and-Tell Day,I want to {blank} a question about your sketch.,ask
Pre-A1,4th-7th,12,Show-and-Tell Day,Stand up and {blank} slowly so we can hear you.,speak
Pre-A1,4th-7th,13,Restaurant Day,The {blank} brings food to the table.,waiter
Pre-A1,4th-7th,13,Restaurant Day,I look at the {blank} to choose my food.,menu
Pre-A1,4th-7th,13,Restaurant Day,She is a {blank}. She pays for her food.,customer
Pre-A1,4th-7th,13,Restaurant Day,We go to the {blank} to eat dinner.,restaurant
Pre-A1,4th-7th,13,Restaurant Day,I {blank} a salad and water please.,order
Pre-A1,4th-7th,14,Dance Day,Please {blank} your hands. Make a loud sound!,clap
Pre-A1,4th-7th,14,Dance Day,Now {blank} up and land on one foot.,hop
Pre-A1,4th-7th,14,Dance Day,Turn around fast. {blank} like a top!,spin
Pre-A1,4th-7th,14,Dance Day,{blank} your foot on the floor. Make a big noise!,stomp
Pre-A1,4th-7th,14,Dance Day,Hello! {blank} your hand to say hi.,wave
Pre-A1,4th-7th,15,Final Day,Her {blank} is singing on stage.,talent
Pre-A1,4th-7th,15,Final Day,We {blank} at the end of summer camp.,celebrate
Pre-A1,4th-7th,15,Final Day,I feel {blank} of my work today.,proud
Pre-A1,4th-7th,15,Final Day,My {blank} and I had fun this summer.,friend
Pre-A1,4th-7th,15,Final Day,We {blank} a song together on the last day.,sing
